point,algorithm,time,coverage,length,rotation
6 - [ 17.5        -13.5        -10.37468719],BAstar Variant,170,97.37,3353,2954
6 - [ 17.5        -13.5        -10.37468719],BAstar Variant,180,97.37,3353,2954
6 - [ 17.5        -13.5        -10.37468719],BAstar Variant,190,97.37,3353,2954
6 - [ 17.5        -13.5        -10.37468719],BAstar Variant,200,97.37,3353,2954
6 - [ 17.5        -13.5        -10.37468719],BAstar Variant,210,97.37,3353,2954
6 - [ 17.5        -13.5        -10.37468719],BAstar Variant,220,97.37,3353,2954
6 - [ 17.5        -13.5        -10.37468719],BAstar Variant,230,97.37,3353,2954
6 - [ 17.5        -13.5        -10.37468719],BAstar Variant,240,97.37,3353,2954
6 - [ 17.5        -13.5        -10.37468719],BAstar Variant,250,97.37,3353,2954
6 - [ 17.5        -13.5        -10.37468719],BAstar Variant,260,97.37,3353,2954
6 - [ 17.5        -13.5        -10.37468719],BAstar Variant,270,97.37,3353,2954
6 - [ 17.5        -13.5        -10.37468719],BAstar Variant,280,97.37,3353,2954
6 - [ 17.5        -13.5        -10.37468719],BAstar Variant,290,97.37,3353,2954
6 - [ 17.5        -13.5        -10.37468719],BAstar Variant,300,97.37,3353,2954
6 - [ 17.5        -13.5        -10.37468719],BAstar Variant,310,97.37,3353,2954
6 - [ 17.5        -13.5        -10.37468719],BAstar Variant,320,97.37,3353,2954
6 - [ 17.5        -13.5        -10.37468719],BAstar Variant,330,97.37,3353,2954
6 - [ 17.5        -13.5        -10.37468719],BAstar Variant,340,97.37,3353,2954
6 - [ 17.5        -13.5        -10.37468719],BAstar Variant,350,97.37,3353,2954
6 - [ 17.5        -13.5        -10.37468719],BAstar Variant,360,97.37,3353,2954
6 - [ 17.5        -13.5        -10.37468719],BAstar Variant,370,97.37,3353,2954
6 - [ 17.5        -13.5        -10.37468719],BAstar Variant,380,97.37,3353,2954
6 - [ 17.5        -13.5        -10.37468719],BAstar Variant,390,97.37,3353,2954
6 - [ 17.5        -13.5        -10.37468719],BAstar Variant,400,97.37,3353,2954
